 0 1 0
0.01 1.0008 0.1466
0.02 1.00296 0.270277
0.03 1.00627 0.374922
0.04 1.01054 0.46377
0.05 1.01565 0.53951
0.06 1.02146 0.604374
0.07 1.02788 0.660222
0.08 1.03483 0.708596
0.09 1.04223 0.750778
0.1 1.05003 0.787836
0.11 1.05818 0.820654
0.12 1.06664 0.849967
0.13 1.07538 0.876388
0.14 1.08437 0.900422
0.15 1.0936 0.922492
0.16 1.10304 0.942946
0.17 1.11268 0.962075
0.18 1.12251 0.980119
0.19 1.13251 0.997278
0.2 1.14268 1.01372
0.21 1.15302 1.02957
0.22 1.16351 1.04495
0.23 1.17415 1.05995
0.24 1.18495 1.07465
0.25 1.19589 1.08911
0.26 1.20697 1.10338
0.27 1.2182 1.11751
0.28 1.22957 1.13152
0.29 1.24108 1.14545
0.3 1.25273 1.15932
0.31 1.26452 1.17314
0.32 1.27645 1.18693
0.33 1.28851 1.20071
0.34 1.30072 1.21447
0.35 1.31306 1.22822
0.36 1.32554 1.24198
0.37 1.33816 1.25574
0.38 1.35092 1.2695
0.39 1.36382 1.28326
0.4 1.37685 1.29703
0.41 1.39003 1.31081
0.42 1.40334 1.32458
0.43 1.41679 1.33836
0.44 1.43038 1.35213
0.45 1.44411 1.36589
0.46 1.45797 1.37965
0.47 1.47198 1.3934
0.48 1.48612 1.40714
0.49 1.5004 1.42086
0.5 1.51482 1.43457
0.51 1.52938 1.44825
0.52 1.54407 1.46191
0.53 1.5589 1.47554
0.54 1.57387 1.48915
0.55 1.58897 1.50272
0.56 1.60422 1.51626
0.57 1.61959 1.52976
0.58 1.63511 1.54323
0.59 1.65075 1.55665
0.6 1.66654 1.57004
0.61 1.68245 1.58339
0.62 1.69851 1.59669
0.63 1.71469 1.60995
0.64 1.73101 1.62316
0.65 1.74746 1.63634
0.66 1.76404 1.64946
0.67 1.78076 1.66255
0.68 1.79761 1.67559
0.69 1.81458 1.68859
0.7 1.83169 1.70156
0.71 1.84893 1.71448
0.72 1.8663 1.72737
0.73 1.8838 1.74022
0.74 1.90142 1.75304
0.75 1.91918 1.76583
0.76 1.93706 1.7786
0.77 1.95508 1.79135
0.78 1.97322 1.80408
0.79 1.99149 1.8168
0.8 2.00988 1.82951
0.81 2.02841 1.84222
0.82 2.04706 1.85493
0.83 2.06584 1.86765
0.84 2.08475 1.88039
0.85 2.10378 1.89314
0.86 2.12295 1.90593
0.87 2.14224 1.91876
0.88 2.16166 1.93163
0.89 2.18122 1.94455
0.9 2.2009 1.95753
0.91 2.22071 1.97058
0.92 2.24066 1.98372
0.93 2.26074 1.99694
0.94 2.28095 2.01026
0.95 2.30129 2.02368
0.96 2.32177 2.03723
0.97 2.34239 2.05091
0.98 2.36315 2.06472
0.99 2.38404 2.07869
1 2.40508 2.09283
1.01 2.42626 2.10713
1.02 2.44758 2.12163
1.03 2.46906 2.13633
1.04 2.49068 2.15124
1.05 2.51245 2.16638
1.06 2.53437 2.18175
1.07 2.55645 2.19738
1.08 2.57869 2.21327
1.09 2.60109 2.22944
1.1 2.62365 2.2459
1.11 2.64638 2.26267
1.12 2.66928 2.27976
1.13 2.69236 2.29718
1.14 2.71561 2.31495
1.15 2.73904 2.33308
1.16 2.76266 2.35159
1.17 2.78646 2.37049
1.18 2.81045 2.38979
1.19 2.83465 2.40951
1.2 2.85904 2.42966
1.21 2.88363 2.45026
1.22 2.90844 2.47132
1.23 2.93346 2.49284
1.24 2.9587 2.51486
1.25 2.98416 2.53737
1.26 3.00985 2.5604
1.27 3.03577 2.58395
1.28 3.06194 2.60804
1.29 3.08835 2.63268
1.3 3.11501 2.65788
1.31 3.14192 2.68366
1.32 3.1691 2.71002
1.33 3.19654 2.73697
1.34 3.22426 2.76454
1.35 3.25226 2.79272
1.36 3.28055 2.82152
1.37 3.30912 2.85096
1.38 3.338 2.88105
1.39 3.36718 2.91179
1.4 3.39668 2.94319
1.41 3.42649 2.97526
1.42 3.45663 3.00801
1.43 3.48711 3.04144
1.44 3.51792 3.07555
1.45 3.54907 3.11036
1.46 3.58059 3.14586
1.47 3.61246 3.18207
1.48 3.6447 3.21897
1.49 3.67731 3.25659
1.5 3.7103 3.29491
1.51 3.74369 3.33394
1.52 3.77747 3.37369
1.53 3.81165 3.41414
1.54 3.84624 3.4553
1.55 3.88125 3.49717
1.56 3.91669 3.53974
1.57 3.95255 3.58301
1.58 3.98886 3.62699
1.59 4.02561 3.67165
1.6 4.06281 3.71701
1.61 4.10047 3.76304
1.62 4.1386 3.80975
1.63 4.1772 3.85713
1.64 4.21628 3.90516
1.65 4.25584 3.95385
1.66 4.2959 4.00317
1.67 4.33646 4.05313
1.68 4.37752 4.1037
1.69 4.4191 4.15488
1.7 4.46119 4.20666
1.71 4.50381 4.25901
